Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	CL:0000002	rdfs:comment	Obsoleted in July 2013 and replaced by the CLO 'immortal cell line cell' class, as a result of CLO-OBI-CL alignment efforts.        Covers cells actively being cultured or stored in a quiescent state for future use.	
ERROR	deprecated_class_reference	CL:0000002	rdfs:label	obsolete immortal cell line cell	
ERROR	deprecated_class_reference	CL:0000002	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	scao.owl	dc11:description		
ERROR	duplicate_label	CARO:0000014	rdfs:label	cell part@en	
ERROR	duplicate_label	GO:0044464	rdfs:label	cell part@en	
ERROR	duplicate_label	CL:0000000	rdfs:label	cell	
ERROR	duplicate_label	GO:0005623	rdfs:label	cell	
ERROR	missing_ontology_license	scao.owl	dc:license		
ERROR	missing_ontology_title	scao.owl	dc11:title		
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of	
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of@en	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part@en	
ERROR	multiple_labels	CL:0000000	rdfs:label	cell	
ERROR	multiple_labels	CL:0000000	rdfs:label	cell@en	
ERROR	multiple_labels	GO:0005634	rdfs:label	nucleus	
ERROR	multiple_labels	GO:0005634	rdfs:label	nucleus@en	
ERROR	multiple_labels	GO:0044464	rdfs:label	cell part	
ERROR	multiple_labels	GO:0044464	rdfs:label	cell part@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from	
WARN	equivalent_pair	CL:0000000	owl:equivalentClass	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	CL:0000000	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0000003	rdfs:subClassOf	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0001034	rdfs:subClassOf	CL:0000000	
WARN	multiple_asserted_superclasses	CL:0001034	rdfs:subClassOf	GO:0005623	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002076	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0000066	
WARN	multiple_asserted_superclasses	CL:0002077	rdfs:subClassOf	CL:0002371	
WARN	multiple_asserted_superclasses	CL:0002319	rdfs:subClassOf	CL:0000548	
